,Movie Name,Year of Release,Run Time,Rating,Metascore,Genre,Votes,Gross,Description
0,The Shawshank Redemption,-1994,142 min,9.3,82,Drama,"2,769,704",$28.34M,"Over the course of several years, two convicts form a friendship, seeking consolation and, eventually, redemption through basic compassion."
1,The Godfather,-1972,175 min,9.2,100,"Crime, Drama","1,928,030",$134.97M,"Don Vito Corleone, head of a mafia family, decides to hand over his empire to his youngest son Michael. However, his decision unintentionally puts the lives of his loved ones in grave danger."
2,The Dark Knight,-2008,152 min,9,84,"Action, Crime, Drama","2,744,134",$534.86M,"When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice."
3,Schindler's List,-1993,195 min,9,95,"Biography, Drama, History","1,394,799",$96.90M,"In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis."
4,12 Angry Men,-1957,96 min,9,97,"Crime, Drama","821,479",$4.36M,The jury in a New York City murder trial is frustrated by a single member whose skeptical caution forces them to more carefully consider the evidence before jumping to a hasty verdict.
5,The Lord of the Rings: The Return of the King,-2003,201 min,9,94,"Action, Adventure, Drama","1,900,151",$377.85M,Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.
6,The Godfather Part II,-1974,202 min,9,90,"Crime, Drama","1,311,459",$57.30M,"The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate."
7,Spider-Man: Across the Spider-Verse,-2023,140 min,8.9,86,"Animation, Action, Adventure","188,875",#14,"Miles Morales catapults across the Multiverse, where he encounters a team of Spider-People charged with protecting its very existence. When the heroes clash on how to handle a new threat, Miles must redefine what it means to be a hero."
8,Pulp Fiction,-1994,154 min,8.9,95,"Crime, Drama","2,125,955",$107.93M,"The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption."
9,Oppenheimer,-2023,180 min,8.8,89,"Biography, Drama, History","94,894",#27,The story of American scientist J. Robert Oppenheimer and his role in the development of the atomic bomb.
10,Inception,-2010,148 min,8.8,74,"Action, Adventure, Sci-Fi","2,435,168",$292.58M,"A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O., but his tragic past may doom the project and his team to disaster."
11,The Lord of the Rings: The Fellowship of the Ring,-2001,178 min,8.8,92,"Action, Adventure, Drama","1,928,549",$315.54M,A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.
12,Fight Club,-1999,139 min,8.8,67,Drama,"2,205,920",$37.03M,An insomniac office worker and a devil-may-care soap maker form an underground fight club that evolves into much more.
13,Forrest Gump,-1994,142 min,8.8,82,"Drama, Romance","2,154,208",$330.25M,"The history of the United States from the 1950s to the '70s unfolds from the perspective of an Alabama man with an IQ of 75, who yearns to be reunited with his childhood sweetheart."
14,"The Good, the Bad and the Ugly",-1966,178 min,8.8,90,"Adventure, Western","782,702",$6.10M,A bounty hunting scam joins two men in an uneasy alliance against a third in a race to find a fortune in gold buried in a remote cemetery.
15,The Lord of the Rings: The Two Towers,-2002,179 min,8.8,87,"Action, Adventure, Drama","1,714,794",$342.55M,"While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard."
16,Jai Bhim,-2021,164 min,8.8,****,"Crime, Drama, Mystery","208,375",#219,"When a tribal man is arrested for a case of alleged theft, his wife turns to a human-rights lawyer to help bring justice."
17,777 Charlie,-2022,164 min,8.8,****,"Adventure, Comedy, Drama","35,682",%^%^%^,Dharma is stuck in a rut with his negative and lonely lifestyle and spends each day in the comfort of his loneliness. A pup named Charlie enters his life and gives him a new perspective towards it.
18,Interstellar,-2014,169 min,8.7,74,"Adventure, Drama, Sci-Fi","1,942,476",$188.02M,"When Earth becomes uninhabitable in the future, a farmer and ex-NASA pilot, Joseph Cooper, is tasked to pilot a spacecraft, along with a team of researchers, to find a new planet for humans."
19,Goodfellas,-1990,145 min,8.7,92,"Biography, Crime, Drama","1,202,008",$46.84M,"The story of Henry Hill and his life in the mafia, covering his relationship with his wife Karen and his mob partners Jimmy Conway and Tommy DeVito."
20,One Flew Over the Cuckoo's Nest,-1975,133 min,8.7,84,Drama,"1,035,300",$112.00M,"In the Fall of 1963, a Korean War veteran and criminal pleads insanity and is admitted to a mental institution, where he rallies up the scared patients against the tyrannical nurse."
21,The Matrix,-1999,136 min,8.7,73,"Action, Sci-Fi","1,972,342",$171.48M,"When a beautiful stranger leads computer hacker Neo to a forbidding underworld, he discovers the shocking truth--the life he knows is the elaborate deception of an evil cyber-intelligence."
22,Star Wars: Episode V - The Empire Strikes Back,-1980,124 min,8.7,82,"Action, Adventure, Fantasy","1,330,595",$290.48M,"After the Rebels are overpowered by the Empire, Luke Skywalker begins his Jedi training with Yoda, while his friends are pursued across the galaxy by Darth Vader and bounty hunter Boba Fett."
23,Rocketry: The Nambi Effect,-2022,157 min,8.7,****,"Biography, Drama","54,323",%^%^%^,"Based on the life of Indian Space Research Organization scientist Nambi Narayanan, who was framed for being a spy and arrested in 1994. Though free, he continues to fight for justice against the officials who falsely implicated him."
24,Soorarai Pottru,-2020,153 min,8.7,****,"Action, Drama","120,079",%^%^%^,"Nedumaaran Rajangam ""Maara"" sets out to make the common man fly and in the process takes on the world's most capital intensive industry and several enemies who stand in his way."
25,Saving Private Ryan,-1998,169 min,8.6,91,"Drama, War","1,434,810",$216.54M,"Following the Normandy Landings, a group of U.S. soldiers go behind enemy lines to retrieve a paratrooper whose brothers have been killed in action."
26,Se7en,-1995,127 min,8.6,65,"Crime, Drama, Mystery","1,713,060",$100.13M,"Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives."
27,The Silence of the Lambs,-1991,118 min,8.6,86,"Crime, Drama, Thriller","1,478,552",$130.74M,"A young F.B.I. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer, a madman who skins his victims."
28,Terminator 2: Judgment Day,-1991,137 min,8.6,75,"Action, Sci-Fi","1,131,768",$204.84M,"A cyborg, identical to the one who failed to kill Sarah Connor, must now protect her ten year old son John from an even more advanced and powerful cyborg."
29,The Green Mile,-1999,189 min,8.6,61,"Crime, Drama, Fantasy","1,346,541",$136.80M,"A tale set on death row in a Southern jail, where gentle giant John possesses the mysterious power to heal people's ailments. When the lead guard, Paul, recognizes John's gift, he tries to help stave off the condemned man's execution."
30,Star Wars: Episode IV - A New Hope,-1977,121 min,8.6,90,"Action, Adventure, Fantasy","1,402,812",$322.74M,"Luke Skywalker joins forces with a Jedi Knight, a cocky pilot, a Wookiee and two droids to save the galaxy from the Empire's world-destroying battle station, while also attempting to rescue Princess Leia from the mysterious Darth Vader."
31,Spirited Away,-2001,125 min,8.6,96,"Animation, Adventure, Family","798,888",$10.06M,"During her family's move to the suburbs, a sullen 10-year-old girl wanders into a world ruled by gods, witches and spirits, a world where humans are changed into beasts."
32,City of God,-2002,130 min,8.6,79,"Crime, Drama","775,641",$7.56M,"In the slums of Rio, two kids' paths diverge as one struggles to become a photographer and the other a kingpin."
33,Life Is Beautiful,-1997,116 min,8.6,59,"Comedy, Drama, Romance","715,971",$57.60M,"When an open-minded Jewish waiter and his son become victims of the Holocaust, he uses a perfect mixture of will, humor and imagination to protect his son from the dangers around their camp."
34,It's a Wonderful Life,-1946,130 min,8.6,89,"Drama, Family, Fantasy","475,281",#21,An angel is sent from Heaven to help a desperately frustrated businessman by showing him what life would have been like if he had never existed.
35,Seven Samurai,-1954,207 min,8.6,98,"Action, Drama","355,153",$0.27M,"Farmers from a village exploited by bandits hire a veteran samurai for protection, who gathers six other samurai to join him."
36,Harakiri,-1962,133 min,8.6,85,"Action, Drama, Mystery","62,239",#47,"When a ronin requesting seppuku at a feudal lord's palace is told of the brutal suicide of another ronin who previously visited, he reveals how their pasts are intertwined - and in doing so challenges the clan's integrity."
37,Sita Ramam,-2022,163 min,8.6,****,"Action, Drama, Mystery","61,497",%^%^%^,"An orphan soldier, Lieutenant Ram's life changes, after he gets a letter from a girl named Sita. He meets her and love blossoms between them. When he comes back to his camp in Kashmir,After he gets caught in jail, he sends a letter to Sita which won't reach her."
38,The Departed,-2006,151 min,8.5,85,"Crime, Drama, Thriller","1,366,739",$132.38M,An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.
39,The Prestige,-2006,130 min,8.5,66,"Drama, Mystery, Sci-Fi","1,376,458",$53.09M,"After a tragic accident, two stage magicians in 1890s London engage in a battle to create the ultimate illusion while sacrificing everything they have to outwit each other."
40,Gladiator,-2000,155 min,8.5,67,"Action, Adventure, Drama","1,547,133",$187.71M,A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery.
41,Back to the Future,-1985,116 min,8.5,87,"Adventure, Comedy, Sci-Fi","1,250,402",$210.61M,"Marty McFly, a 17-year-old high school student, is accidentally sent 30 years into the past in a time-traveling DeLorean invented by his close friend, the maverick scientist Doc Brown."
42,Alien,-1979,117 min,8.5,89,"Horror, Sci-Fi","910,353",$78.90M,The crew of a commercial spacecraft encounters a deadly lifeform after investigating an unknown transmission.
43,Parasite,-2019,132 min,8.5,96,"Drama, Thriller","869,297",$53.37M,Greed and class discrimination threaten the newly formed symbiotic relationship between the wealthy Park family and the destitute Kim clan.
44,Whiplash,-2014,106 min,8.5,89,"Drama, Music","916,769",$13.09M,A promising young drummer enrolls at a cut-throat music conservatory where his dreams of greatness are mentored by an instructor who will stop at nothing to realize a student's potential.
45,Léon: The Professional,-1994,110 min,8.5,64,"Action, Crime, Drama","1,198,203",$19.50M,"12-year-old Mathilda is reluctantly taken in by Léon, a professional assassin, after her family is murdered. An unusual relationship forms as she becomes his protégée and learns the assassin's trade."
46,The Usual Suspects,-1995,106 min,8.5,77,"Crime, Drama, Mystery","1,110,691",$23.34M,The sole survivor of a pier shoot-out tells the story of how a notorious criminal influenced the events that began with five criminals meeting in a seemingly random police lineup.
47,American History X,-1998,119 min,8.5,62,"Crime, Drama","1,149,800",$6.72M,"Living a life marked by violence, neo-Nazi Derek finally goes to prison after killing two black youths. Upon his release, Derek vows to change; he hopes to prevent his brother, Danny, who idolizes Derek, from following in his footsteps."
48,The Lion King,-1994,88 min,8.5,88,"Animation, Adventure, Drama","1,094,629",$422.78M,"Lion prince Simba and his father are targeted by his bitter uncle, who wants to ascend the throne himself."
49,Casablanca,-1942,102 min,8.5,100,"Drama, Romance, War","587,485",$1.02M,A cynical expatriate American cafe owner struggles to decide whether or not to help his former lover and her fugitive husband escape the Nazis in French Morocco.
50,The Pianist,-2002,150 min,8.5,85,"Biography, Drama, Music","864,484",$32.57M,A Polish Jewish musician struggles to survive the destruction of the Warsaw ghetto of World War II.
51,The Intouchables,-2011,112 min,8.5,57,"Biography, Comedy, Drama","888,435",$13.18M,"After he becomes a quadriplegic from a paragliding accident, an aristocrat hires a young man from the projects to be his caregiver."
52,Psycho,-1960,109 min,8.5,97,"Horror, Mystery, Thriller","692,557",$32.00M,"A Phoenix secretary embezzles $40,000 from her employer's client, goes on the run and checks into a remote motel run by a young man under the domination of his mother."
53,Once Upon a Time in the West,-1968,165 min,8.5,82,Western,"339,212",$5.32M,A mysterious stranger with a harmonica joins forces with a notorious desperado to protect a beautiful widow from a ruthless assassin working for the railroad.
54,Grave of the Fireflies,-1988,89 min,8.5,94,"Animation, Drama, War","290,741",#46,A young boy and his little sister struggle to survive in Japan during World War II.
55,Rear Window,-1954,112 min,8.5,100,"Mystery, Thriller","505,044",$36.76M,"A photographer in a wheelchair spies on his neighbors from his Greenwich Village courtyard apartment window, and becomes convinced one of them has committed murder, despite the skepticism of his fashion-model girlfriend."
56,Cinema Paradiso,-1988,155 min,8.5,80,"Drama, Romance","270,744",$11.99M,A filmmaker recalls his childhood when falling in love with the pictures at the cinema of his home village and forms a deep friendship with the cinema's projectionist.
57,Modern Times,-1936,87 min,8.5,96,"Comedy, Drama, Romance","250,220",$0.16M,The Tramp struggles to live in modern industrial society with the help of a young homeless woman.
58,City Lights,-1931,87 min,8.5,99,"Comedy, Drama, Romance","189,778",$0.02M,"With the aid of a wealthy erratic tippler, a dewy-eyed tramp who has fallen in love with a sightless flower girl accumulates money to be able to help her medically."
59,96,(II) (2018),158 min,8.5,****,"Drama, Romance","33,551",%^%^%^,Two high school sweethearts meet at a reunion after 22 years and reminisce about their past.
60,Raiders of the Lost Ark,-1981,115 min,8.4,85,"Action, Adventure","1,004,289",$248.16M,"In 1936, archaeologist and adventurer Indiana Jones is hired by the U.S. government to find the Ark of the Covenant before the Nazis can obtain its awesome powers."
61,Spider-Man: Into the Spider-Verse,-2018,117 min,8.4,87,"Animation, Action, Adventure","610,631",$190.24M,Teen Miles Morales becomes the Spider-Man of his universe and must join with five spider-powered individuals from other dimensions to stop a threat for all realities.
62,Django Unchained,-2012,165 min,8.4,81,"Drama, Western","1,614,773",$162.81M,"With the help of a German bounty-hunter, a freed slave sets out to rescue his wife from a brutal plantation owner in Mississippi."
63,Avengers: Endgame,-2019,181 min,8.4,78,"Action, Adventure, Drama","1,196,028",$858.37M,"After the devastating events of Avengers: Infinity War (2018), the universe is in ruins. With the help of remaining allies, the Avengers assemble once more in order to reverse Thanos' actions and restore balance to the universe."
64,Joker,(I) (2019),122 min,8.4,59,"Crime, Drama, Thriller","1,374,073",$335.45M,"The rise of Arthur Fleck, from aspiring stand-up comedian and pariah to Gotham's clown prince and leader of the revolution."
65,Aliens,-1986,137 min,8.4,84,"Action, Adventure, Sci-Fi","737,422",$85.16M,"Decades after surviving the Nostromo incident, Ellen Ripley is sent out to re-establish contact with a terraforming colony but finds herself battling the Alien Queen and her offspring."
66,Oldboy,-2003,120 min,8.4,77,"Action, Drama, Mystery","601,980",$0.71M,"After being kidnapped and imprisoned for fifteen years, Oh Dae-Su is released, only to find that he must find his captor in five days."
67,Memento,-2000,113 min,8.4,83,"Mystery, Thriller","1,272,674",$25.54M,A man with short-term memory loss attempts to track down his wife's murderer.
68,The Dark Knight Rises,-2012,164 min,8.4,78,"Action, Drama, Thriller","1,755,898",$448.14M,"Eight years after the Joker's reign of chaos, Batman is coerced out of exile with the assistance of the mysterious Selina Kyle in order to defend Gotham City from the vicious guerrilla terrorist Bane."
69,The Shining,-1980,146 min,8.4,66,"Drama, Horror","1,057,958",$44.02M,"A family heads to an isolated hotel for the winter where a sinister presence influences the father into violence, while his psychic son sees horrific forebodings from both past and future."
70,Apocalypse Now,-1979,147 min,8.4,94,"Drama, Mystery, War","686,449",$83.47M,A U.S. Army officer serving in Vietnam is tasked with assassinating a renegade Special Forces Colonel who sees himself as a god.
71,Avengers: Infinity War,-2018,149 min,8.4,68,"Action, Adventure, Sci-Fi","1,138,224",$678.82M,The Avengers and their allies must be willing to sacrifice all in an attempt to defeat the powerful Thanos before his blitz of devastation and ruin puts an end to the universe.
72,Amadeus,-1984,160 min,8.4,88,"Biography, Drama, Music","412,644",$51.97M,"The life, success and troubles of Wolfgang Amadeus Mozart, as told by Antonio Salieri, the contemporaneous composer who was deeply jealous of Mozart's talent and claimed to have murdered him."
73,Come and See,-1985,142 min,8.4,****,"Drama, Thriller, War","87,812",#92,"After finding an old rifle, a young boy joins the Soviet resistance movement against ruthless German forces and experiences the horrors of World War II."
74,Your Name.,-2016,106 min,8.4,81,"Animation, Drama, Fantasy","292,350",$5.02M,"Two teenagers share a profound, magical connection upon discovering they are swapping bodies. Things manage to become even more complicated when the boy and girl decide to meet in person."
75,Coco,(I) (2017),105 min,8.4,81,"Animation, Adventure, Drama","543,699",$209.73M,"Aspiring musician Miguel, confronted with his family's ancestral ban on music, enters the Land of the Dead to find his great-great-grandfather, a legendary singer."
76,WALL·E,-2008,98 min,8.4,95,"Animation, Adventure, Family","1,152,796",$223.81M,"In the distant future, a small waste-collecting robot inadvertently embarks on a space journey that will ultimately decide the fate of mankind."
77,3 Idiots,-2009,170 min,8.4,67,"Comedy, Drama","414,082",$6.53M,"Two friends are searching for their long lost companion. They revisit their college days and recall the memories of their friend who inspired them to think differently, even as the rest of the world called them ""idiots""."
